Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Redundant Tests,Redundant Tests,Total Deleted Tests,Deleted Tests
2009-07-20 18:50:47,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/f04f89bfda742435b86313a7ff01eb975dbbe00c"", ""f04f89bfda742435b86313a7ff01eb975dbbe00c"")",1,['src/test/org/apache/commons/lang/NotImplementedExceptionTest.java'],12,"['testConstructor_', 'testConstructor_String1', 'testConstructor_String2', 'testConstructor_Throwable1', 'testConstructor_Throwable2', 'testConstructor_StringThrowable1', 'testConstructor_StringThrowable2', 'testConstructor_Class1', 'testConstructor_Class2', 'testPrintStackTrace', 'testPrintStackTrace_Stream', 'testPrintStackTrace_Writer']",12,"['testConstructor_', 'testConstructor_String1', 'testConstructor_String2', 'testConstructor_Throwable1', 'testConstructor_Throwable2', 'testConstructor_StringThrowable1', 'testConstructor_StringThrowable2', 'testConstructor_Class1', 'testConstructor_Class2', 'testPrintStackTrace', 'testPrintStackTrace_Stream', 'testPrintStackTrace_Writer']"
2009-07-20 18:50:56,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/687dc10a611d3ded6239baa2b8ebdff7ebfb9871"", ""687dc10a611d3ded6239baa2b8ebdff7ebfb9871"")",1,['src/test/org/apache/commons/lang/NullArgumentExceptionTest.java'],3,"['testConstructor_nullInput', 'testGetMessage_nullConstructorInput', 'testGetMessage_validConstructorInput']",3,"['testConstructor_nullInput', 'testGetMessage_nullConstructorInput', 'testGetMessage_validConstructorInput']"
2009-07-20 18:51:04,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/d8ae0bdbefd1df0dda95f3402c323ca93962d16e"", ""d8ae0bdbefd1df0dda95f3402c323ca93962d16e"")",1,['src/test/org/apache/commons/lang/IncompleteArgumentExceptionTest.java'],6,"['test1arg_nullInput', 'test1arg_validInput', 'test2arg_allNullInput', 'test2arg_nullString', 'test2arg_nullArray', 'test2arg_validInput']",6,"['test1arg_nullInput', 'test1arg_validInput', 'test2arg_allNullInput', 'test2arg_nullString', 'test2arg_nullArray', 'test2arg_validInput']"
2009-11-13 02:54:04,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/452a6c0cd87ed01dc6f60ab65578c6353c0d0522"", ""452a6c0cd87ed01dc6f60ab65578c6353c0d0522"")",7,"['src/test/org/apache/commons/lang/math/LongRangeTest.java', 'src/test/org/apache/commons/lang/math/FloatRangeTest.java', 'src/test/org/apache/commons/lang/math/IntRangeTest.java', 'src/test/org/apache/commons/lang/math/RangeTest.java', 'src/test/org/apache/commons/lang/math/DoubleRangeTest.java', 'src/test/org/apache/commons/lang/math/AbstractRangeTest.java', 'src/test/org/apache/commons/lang/math/NumberRangeTest.java']",2,"['testConstructor1Exceptions', 'testConstructor2Exceptions']",46,"['testGetMinimum', 'testGetMaximum', 'testContainsLong', 'testContainsInteger', 'testContainsDouble', 'testContainsFloat', 'testContainsRange', 'testOverlapsRange', 'testEquals', 'testHashCode', 'testToString', 'testConstructor1a', 'testConstructor1b', 'testConstructor2a', 'testConstructor2b', 'testContainsNumber', 'testToString', 'testConstructor1a', 'testConstructor1b', 'testConstructor2a', 'testConstructor2b', 'testContainsNumber', 'testToString', 'testConstructor1a', 'testConstructor1b', 'testConstructor2a', 'testConstructor2b', 'testContainsNumber', 'testContainsIntegerBig', 'testToArray', 'testConstructor1a', 'testConstructor1b', 'testConstructor2a', 'testConstructor2b', 'testContainsNumber', 'testContainsLongBig', 'testToArray', 'testConstructor1', 'testConstructor1Exceptions', 'testConstructor2', 'testConstructor2Exceptions', 'testContainsLongBig', 'testContainsNumber', 'testEqualsObject', 'testHashCode', 'testToString']"
2009-11-17 02:45:55,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/c090db27a496c00c1c28bf22e54cc57b7f593298"", ""c090db27a496c00c1c28bf22e54cc57b7f593298"")",2,"['src/test/org/apache/commons/lang/text/translate/EscapeUtilsTest.java', 'src/test/org/apache/commons/lang/text/translate/UnescapeUtilsTest.java']",2,"['testConstructorExists', 'testConstructorExists']",2,"['testConstructorExists', 'testConstructorExists']"
2010-07-22 12:42:17,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/91a90af7673ade24edbb7c378b2a3b46fcf8e78a"", ""91a90af7673ade24edbb7c378b2a3b46fcf8e78a"")",1,['src/test/java/org/apache/commons/lang3/event/ReflectiveEventSupportTest.java'],2,"['testReflectiveEventSupport', 'testGetSource']",8,"['testReflectiveEventSupport', 'testFireEventByMethodName', 'testFireEventByMethodNameToInaccessibleMethods', 'testFireEventNullMethodName', 'testFireEventByMethod', 'testFireEventByMethodToInaccessibleMethods', 'testFireEventNullMethod', 'testGetSource']"
2010-07-22 14:08:59,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/056742acf7fa9de76993c24d0eb0fa84b99dbbdd"", ""056742acf7fa9de76993c24d0eb0fa84b99dbbdd"")",1,['src/test/java/org/apache/commons/lang3/event/AbstractEventSupportTest.java'],0,[],6,"['testAddListener', 'testAddNullListener', 'testRemoveListener', 'testRemoveNullListener', 'testGetSource', 'testIterator']"
2011-01-16 22:05:02,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/1330e9dad70336423e7f52f0a0f5f97c107d620c"", ""1330e9dad70336423e7f52f0a0f5f97c107d620c"")",2,"['src/pending/CalendarUtilsTest.java', 'src/pending/DateFormatterTest.java']",0,[],6,"['testRound', 'testTrunc', 'testParse', 'testWeekIterator', 'testMonthIterator', 'testParseCVS']"
2011-03-15 23:39:17,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/e5b0844c4f49d5913f54bb5982284f5e7b76240a"", ""e5b0844c4f49d5913f54bb5982284f5e7b76240a"")",1,['src/test/java/org/apache/commons/lang3/CharSequenceUtilsTest.java'],1,['testConstructor'],1,['testConstructor']
2011-08-17 22:59:16,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/2c499868dbf7cedc9a56c3d873fe9e287d7e0f29"", ""2c499868dbf7cedc9a56c3d873fe9e287d7e0f29"")",3,"['src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java', 'src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java', 'src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java']",12,"['testNoopComparatorChain', 'testBadNoopComparatorChain', 'testListComparatorChain', 'testBadListComparatorChain', 'testComparatorChainOnMinvaluedCompatator', 'testConstructorPlusAdd', 'testArrayConstructor', 'testListConstructor', 'testAddAsEqual', 'testLock', 'testUnknownObjectBehavior', 'testSerializeDeserializeThenCompare']",12,"['testNoopComparatorChain', 'testBadNoopComparatorChain', 'testListComparatorChain', 'testBadListComparatorChain', 'testComparatorChainOnMinvaluedCompatator', 'testConstructorPlusAdd', 'testArrayConstructor', 'testListConstructor', 'testAddAsEqual', 'testLock', 'testUnknownObjectBehavior', 'testSerializeDeserializeThenCompare']"
2011-11-08 22:12:18,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/22861326c26a7feaa13f08f5cb8c8f68bedb1225"", ""22861326c26a7feaa13f08f5cb8c8f68bedb1225"")",5,"['src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', 'src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java']",1,['testJavadocExample'],10,"['testUse', 'testEquals', 'testUse', 'testIterate', 'testJavadocExample', 'testNullHigh', 'testNullLow', 'testUse', 'testTwoCallsCancel', 'testEquality']"
2015-12-17 08:52:42,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/2fa0b168d62a07365b2787d0ed97fa1c2cfb673b"", ""2fa0b168d62a07365b2787d0ed97fa1c2cfb673b"")",1,['src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],2,"['testParser', 'testPrinter']",2,"['testParser', 'testPrinter']"
2016-09-11 07:39:14,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/716f140d46c1737ca1c6b22a1db10fe041fbf810"", ""716f140d46c1737ca1c6b22a1db10fe041fbf810"")",1,['src/test/java/org/apache/commons/lang3/XMLCharacterTest.java'],0,[],7,"['testIsWhitespace_char', 'testIsWhitespace_char_arrary', 'testIsWhitespace_CharSequence', 'testIsWhitespace_EmptyArray', 'testIsWhitespace_String_firstChar', 'testIsWhitespace_String_lastChar', 'testIsWhitespace_String_singleChar']"
2016-09-11 08:47:33,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/de125de49a652391f0c38e97001c7863da878f1f"", ""de125de49a652391f0c38e97001c7863da878f1f"")",2,"['src/test/java/org/apache/commons/lang3/DigitalBase10SizeUnitTest.java', 'src/test/java/org/apache/commons/lang3/DigitalBase2SizeUnitTest.java']",12,"['testToBits', 'testToBytes', 'testToGigabytes', 'testToKilobytes', 'testToMegabytes', 'testToTerabytes', 'testToBits', 'testToBytes', 'testToGigabytes', 'testToKilobytes', 'testToMegabytes', 'testToTerabytes']",12,"['testToBits', 'testToBytes', 'testToGigabytes', 'testToKilobytes', 'testToMegabytes', 'testToTerabytes', 'testToBits', 'testToBytes', 'testToGigabytes', 'testToKilobytes', 'testToMegabytes', 'testToTerabytes']"
2017-05-17 09:21:41,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/5a87fa172eb1368fe413af34511d1eb3f2674a9f"", ""5a87fa172eb1368fe413af34511d1eb3f2674a9f"")",5,"['src/test/java/org/apache/commons/lang3/concurrent/annotation/ThreadSafeTest.java', 'src/test/java/org/apache/commons/lang3/concurrent/annotation/NotThreadSafeTest.java', 'src/test/java/org/apache/commons/lang3/concurrent/annotation/ImmutableTest.java', 'src/test/java/org/apache/commons/lang3/concurrent/annotation/GuardedByTest.java', 'src/test/java/org/apache/commons/lang3/concurrent/annotation/ContractTest.java']",1,['testMethodAnnotationInClassFile'],10,"['testClassAnnotationInClassFile', 'testMethodAnnotationNotRetainedAtRuntime', 'testMethodAnnotationInClassFile', 'testMethodAnnotationNotRetainedAtRuntime', 'testClassAnnotationInClassFile', 'testMethodAnnotationNotRetainedAtRuntime', 'testClassAnnotationInClassFile', 'testMethodAnnotationNotRetainedAtRuntime', 'testClassAnnotationInClassFile', 'testMethodAnnotationNotRetainedAtRuntime']"
2018-10-11 15:28:38,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/ca2e59c513edc2a8b30ff62595e01f8dff79f0d2"", ""ca2e59c513edc2a8b30ff62595e01f8dff79f0d2"")",1,['src/test/java/org/apache/commons/lang3/test/SystemDefaultsSwitchTest.java'],4,"['testDefaultLocaleNoAnnotation', 'testUseDifferentLocale', 'testDefaultTimeZoneNoAnnotation', 'testUseDifferentTimeZone']",4,"['testDefaultLocaleNoAnnotation', 'testUseDifferentLocale', 'testDefaultTimeZoneNoAnnotation', 'testUseDifferentTimeZone']"
2019-05-01 17:43:39,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/b30be60a81a14921b3c6bca9689f4886693f1bcd"", ""b30be60a81a14921b3c6bca9689f4886693f1bcd"")",1,['src/test/java/org/apache/commons/lang3/concurrent/DaemonThreadFactoryTest.java'],0,[],2,"['testThreadFactory', 'testThreadFactoryPrefix']"
2020-07-09 07:38:19,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/324363816774a1f9bca998950081130be6756611"", ""324363816774a1f9bca998950081130be6756611"")",1,['src/test/java/org/apache/commons/lang3/concurrent/locks/LocksTest.java'],2,"['testReadLock', 'testWriteLock']",3,"['testReadLock', 'testWriteLock', 'testResultValidation']"
