,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
4,2011-01-10 16:47:36,"=HYPERLINK(""https://github.com/google/gson/commit/25f0014305b8418da278629ee9726f9b3aa79b48"", ""25f0014305b8418da278629ee9726f9b3aa79b48"")",1,['gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java'],4,"['testIsAssignableFromRawTypes', 'testIsAssignableFromWithTypeParameters', 'testIsAssignableFromWithBasicWildcards', 'testIsAssignableFromWithNestedWildcards']"
3,2011-09-28 13:00:34,"=HYPERLINK(""https://github.com/google/gson/commit/3f261441651fe6a5f57cf4e6aa655f9661dc606a"", ""3f261441651fe6a5f57cf4e6aa655f9661dc606a"")",1,['gson/src/test/java/com/google/gson/functional/SystemOnlyTypeAdaptersTest.java'],2,"['testSerializeDefault', 'testDeserializeDefault']"
0,2011-11-22 01:37:13,"=HYPERLINK(""https://github.com/google/gson/commit/fed332906debe74d0879c77a03825b66f7970c41"", ""fed332906debe74d0879c77a03825b66f7970c41"")",1,['gson/src/test/java/com/google/gson/FunctionWithInternalDependenciesTest.java'],1,['testAnonymousLocalClassesSerialization']
1,2011-11-26 09:30:38,"=HYPERLINK(""https://github.com/google/gson/commit/ddde79c861cd2a3f62c33650698942cac1bb961c"", ""ddde79c861cd2a3f62c33650698942cac1bb961c"")",1,['gson/src/test/java/com/google/gson/LruCacheTest.java'],3,"['testCacheHitAndMiss', 'testCacheKeyOverwrite', 'testCacheEviction']"
5,2012-09-04 16:10:12,"=HYPERLINK(""https://github.com/google/gson/commit/411c5c0b502401c7af381a64e94253972b7db5f2"", ""411c5c0b502401c7af381a64e94253972b7db5f2"")",1,['gson/gson-codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java'],1,['testGeneratedJson']
2,2022-04-03 22:00:54,"=HYPERLINK(""https://github.com/google/gson/commit/774c751a9ee026c6d7e4b0ca44dac6ad526de557"", ""774c751a9ee026c6d7e4b0ca44dac6ad526de557"")",1,['codegen/src/test/java/com/google/gson/codegen/functional/CodeGenFunctionalTest.java'],1,['testGeneratedJson']
