Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
6bdd176eed470329a73d7ee08498183e579cea60,108,3,"['JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', 'JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java', 'JodaTime/src/test/org/joda/test/time/buddhist/TestBuddhistEraDateTimeField.java']",105,97,1,2,[108],['./JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java'],"['./JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java', './JodaTime/src/test/org/joda/test/time/buddhist/TestBuddhistEraDateTimeField.java']","[49, 50]","['./JodaTime/src/test/org/joda/time/TestMutableDateTime_Sets.java', './JodaTime/src/test/org/joda/time/TestChronology.java']",5,0.7468351780012199,5.970669203001307,0.11952589399970748,0.01882547600007456,1,2,[71],['./JodaTime/src/test/org/joda/test/time/buddhist/TestBuddhistEraDateTimeField.java'],"['./JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java']","[32, 43]","['./JodaTime/src/test/org/joda/time/chrono/TestISOChronology.java', './JodaTime/src/test/org/joda/time/TestMutableDateTime_Adds.java']",7,0.07293749000245953,162.12091391899912,3.229448553000111,0.0011375429999134212,1,2,[71],['./JodaTime/src/test/org/joda/test/time/buddhist/TestBuddhistEraDateTimeField.java'],"['./JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java']","[40, 11]","['./JodaTime/src/test/org/joda/time/TestPeriod_Basics.java', './JodaTime/src/test/org/joda/time/convert/TestConverterManager.java']",4,0.05461872299929382,6.104781126003672,0.1284624370000529,0.0012486210002862208,1,2,[108],['./JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java'],"['./JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java', './JodaTime/src/test/org/joda/test/time/buddhist/TestBuddhistEraDateTimeField.java']","[68, 70]","['./JodaTime/src/test/org/joda/time/TestMutablePeriod_Constructors.java', './JodaTime/src/test/org/joda/time/TestMutableInterval_Basics.java']",1,0.5790972099989631,163.73438468099994,3.420078010999987,0.012380332000248018
d21736df31ca4888e76ccbdc7d31f406cf68b645,106,6,"['JodaTime/src/test/org/joda/test/time/TestConstructors.java', 'JodaTime/src/test/org/joda/test/time/TestMDTSet.java', 'JodaTime/src/test/org/joda/test/time/TestMDTGet.java', 'JodaTime/src/test/org/joda/test/time/TestInstant.java', 'JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', 'JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']",100,94,2,4,"[96, 97]","['./JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', './JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']","['./JodaTime/src/test/org/joda/test/time/TestConstructors.java', './JodaTime/src/test/org/joda/test/time/TestMDTSet.java', './JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/TestInstant.java']","[34, 91, 76, 86]","['./JodaTime/src/test/org/joda/time/TestDateTimeUtils.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJYearDateTimeField.java', './JodaTime/src/test/org/joda/test/time/iso/TestISOSecondOfDayDateTimeField.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJMonthOfYearDateTimeField.java']",8,0.7355192259999512,5.587636289999637,0.11421727599997666,0.013950707000049078,3,3,"[99, 96, 97]","['./JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', './JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']","['./JodaTime/src/test/org/joda/test/time/TestConstructors.java', './JodaTime/src/test/org/joda/test/time/TestMDTSet.java', './JodaTime/src/test/org/joda/test/time/TestInstant.java']","[9, 58, 101]","['./JodaTime/src/test/org/joda/time/convert/TestStringConverter.java', './JodaTime/src/test/org/joda/time/TestDurationType.java', './JodaTime/src/test/org/joda/test/time/TestMutableDateTimeCtors.java']",8,0.07375465899963274,160.71672155199963,3.2346648039999764,0.0013778539999975692,1,5,[100],['./JodaTime/src/test/org/joda/test/time/TestConstructors.java'],"['./JodaTime/src/test/org/joda/test/time/TestMDTSet.java', './JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/TestInstant.java', './JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', './JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']","[34, 10, 89, 58, 28]","['./JodaTime/src/test/org/joda/time/TestDateTimeUtils.java', './JodaTime/src/test/org/joda/time/convert/TestConverterManager.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJMinuteOfDayDateTimeField.java', './JodaTime/src/test/org/joda/time/TestDurationType.java', './JodaTime/src/test/org/joda/time/chrono/gj/TestGJDateTimeField.java']",1,0.049052484999720036,5.537369715000011,0.1072348290000491,0.001026394000007258,3,3,"[99, 96, 97]","['./JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java', './JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']","['./JodaTime/src/test/org/joda/test/time/TestConstructors.java', './JodaTime/src/test/org/joda/test/time/TestMDTSet.java', './JodaTime/src/test/org/joda/test/time/TestInstant.java']","[88, 106, 93]","['./JodaTime/src/test/org/joda/test/time/gj/TestGJHourOfHalfdayDateTimeField.java', './JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', './JodaTime/src/test/org/joda/test/time/gj/TestSuiteGJ.java']",1,0.5502797619999455,161.2095822210008,3.2048070949999783,0.010995524999998452
49558a5286c3b7eb6c85d5f26e5ae94f11f7a892,147,1,['src/test/java/org/joda/time/TestParseISO.java'],146,99,0,1,[],[],[],[],[],0,1.3736853209999937,9.63262568,0,0,0,1,[],[],[],[],[],0,0.12109505300017531,185.41077128999993,0,0,0,1,[],[],[],[],[],0,0.07342620299999325,9.856813972999992,0,0,0,1,[],[],[],[],[],0,0.9137970029999849,184.78335478600005,0,0
8fb9bae65a1ad986cec1a01a90cbbceebc4a5d6e,430,1,['JodaTimeContrib/gwt/src/test/gwt/org/joda/time/chrono/gj/MainTest.java'],429,99,0,1,[],[],[],[],[],0,11.460544583000228,23.914751019000278,0,0,0,1,[],[],[],[],[],0,0.2661896310009979,528.6006429920005,0,0,0,1,[],[],[],[],[],0,0.17153578700060734,23.83786125799986,0,0,0,1,[],[],[],[],[],0,5.612587957999949,529.5149126880003,0,0
028e01cbba9c1c7824f6c5a576a96fcacad81b61,300,3,"['JodaTimeContrib/gwt/src/test/gwt/org/joda/time/TestSerialization.java', 'JodaTimeContrib/gwt/src/test/gwt/org/joda/time/format/TestDateTimeFormatStyle.java', 'JodaTimeContrib/gwt/src/test/gwt/org/joda/time/tz/TestCompiler.java']",297,99,1,2,[18],['./JodaTimeContrib/gwt/src/test/gwt/org/joda/time/tz/TestCompiler.java'],"['./JodaTimeContrib/gwt/src/test/gwt/org/joda/time/TestSerialization.java', './JodaTimeContrib/gwt/src/test/gwt/org/joda/time/format/TestDateTimeFormatStyle.java']","[187, 92]","['./JodaTime/src/test/org/joda/time/format/TestISOPeriodFormatParsing.java', './JodaTimeContrib/gwt/src/test/gwt/org/joda/time/TestInstant_Basics.java']",4,5.253155183998388,16.88238620399943,0.3643933459998152,0.16704384300010133,0,3,[],[],[],[],[],0,1.4124172890001319,356.2793785400013,0,0,1,2,[110],['./JodaTimeContrib/gwt/src/test/gwt/org/joda/time/TestSerialization.java'],"['./JodaTimeContrib/gwt/src/test/gwt/org/joda/time/format/TestDateTimeFormatStyle.java', './JodaTimeContrib/gwt/src/test/gwt/org/joda/time/tz/TestCompiler.java']","[184, 130]","['./JodaTime/src/test/org/joda/time/format/TestDateTimeFormatterBuilder.java', './JodaTimeContrib/gwt/src/test/gwt/org/joda/time/TestDays.java']",4,0.12597417299912195,16.80356671599975,0.3290402119996543,0.002628878999985318,0,3,[],[],[],[],[],0,4.066087288001199,359.19868180400044,0,0
f1a476f463c62b736e4a641aba4c59d9629814d1,70,5,"['JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java', 'JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java', 'JodaTime/src/test/org/joda/test/time/TestTimePeriod.java']",65,92,2,3,"[69, 66]","['./JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java']","['./JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java', './JodaTime/src/test/org/joda/test/time/TestTimePeriod.java']","[57, 38, 22]","['./JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/chrono/gj/TestGJChronology.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJDayOfWeekDateTimeField.java']",3,0.2935550040006092,3.551375822999944,0.06954977599980339,0.0056705510000938375,2,3,"[69, 53]","['./JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java']","['./JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java', './JodaTime/src/test/org/joda/test/time/TestTimePeriod.java']","[57, 19, 54]","['./JodaTime/src/test/org/joda/test/time/TestMDTGet.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJSecondOfDayDateTimeField.java', './JodaTime/src/test/org/joda/test/time/TestMDTAddWrapped.java']",29,0.041777283999635983,95.37376434500129,2.0365331110001534,0.001040350000039325,2,3,"[66, 53]","['./JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java']","['./JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', './JodaTime/src/test/org/joda/test/time/TestTimePeriod.java']","[28, 70, 22]","['./JodaTime/src/test/org/joda/test/time/gj/TestGJHalfdayOfDayDateTimeField.java', './JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', './JodaTime/src/test/org/joda/test/time/gj/TestGJDayOfWeekDateTimeField.java']",4,0.03517300699968473,3.5081956610006273,0.07267491399989012,0.0007217830002446135,1,4,[66],['./JodaTime/src/test/org/joda/test/time/TestDateTimeFormatterBuilder.java'],"['./JodaTime/src/test/org/joda/test/time/TestTimePeriodFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeFormat.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeParserBucket.java', './JodaTime/src/test/org/joda/test/time/TestTimePeriod.java']","[59, 61, 70, 55]","['./JodaTime/src/test/org/joda/test/time/TestMutableDateTimeCtors.java', './JodaTime/src/test/org/joda/test/time/TestDateTimeCtors.java', './JodaTime/src/test/org/joda/test/time/TestBuddhistChronology.java', './JodaTime/src/test/org/joda/test/time/TestMDTAdd.java']",1,0.2318028860022423,95.33104107700365,1.9606097200003205,0.0053766700002597645
c196026b6845b678d16b5b84a2efc979391907f3,125,1,['JodaTime/src/test/org/joda/time/TestChronologyType.java'],124,99,0,1,[],[],[],[],[],0,0.8825389939979686,6.933649166998293,0,0,1,0,[83],['./JodaTime/src/test/org/joda/time/TestChronologyType.java'],[],[],[],43,0.08873302200026956,136.75290360799954,2.9452283499999794,0.0014774390001548454,1,0,[83],['./JodaTime/src/test/org/joda/time/TestChronologyType.java'],[],[],[],9,0.05399123500183123,6.931437346996063,0.13940179099972738,0.0010722110000642715,0,1,[],[],[],[],[],0,0.5826499039994815,137.35579563500096,0,0
